instance_name,records_number,max_record_length,"time,ms (p=1)","time,ms (p=2)","time,ms (p=4)","time,ms (p=8)","time,ms (p=16)","time,ms (p=32)","time,ms (p=64)",speedup(p=2),speedup(p=4),speedup(p=8),speedup(p=16),speedup(p=32),speedup(p=64),efficiency(p=2),efficiency(p=4),efficiency(p=8),efficiency(p=16),efficiency(p=32),efficiency(p=64)
instance_1,10,10,1,1,1,1,1,2,24,1,1,1,1,"0,5","0,04166666667","0,5","0,25","0,125","0,0625","0,015625","0,0006510416667"
instance_2,10,100,2,2,1,2,3,3,16,1,2,1,"0,3333333333","0,6666666667","0,1875","0,5","0,5","0,125","0,02083333333","0,02083333333","0,0029296875"
instance_3,10,1000,59,29,29,28,31,32,35,"2,034482759","2,034482759","1,035714286","0,935483871","0,875","0,8857142857","1,017241379","0,5086206897","0,1294642857","0,05846774194","0,02734375","0,01383928571"
instance_4,100,10,5,5,3,2,2,4,24,1,"1,666666667","2,5","1,5","0,5","0,08333333333","0,5","0,4166666667","0,3125","0,09375","0,015625","0,001302083333"
instance_5,100,100,241,135,70,39,23,17,37,"1,785185185","3,442857143","3,461538462","3,043478261","2,294117647","0,6216216216","0,8925925926","0,8607142857","0,4326923077","0,1902173913","0,07169117647","0,009712837838"
instance_6,100,1000,17144,9430,4713,2390,1217,719,725,"1,818027572","3,637598133","3,945606695","3,872637634","3,324061196","1,67862069","0,9090137858","0,9093995332","0,4932008368","0,2420398521","0,1038769124","0,02622844828"
instance_7,1000,10,589,335,175,95,55,35,72,"1,758208955","3,365714286","3,526315789","3,181818182","2,714285714","0,7638888889","0,8791044776","0,8414285714","0,4407894737","0,1988636364","0,08482142857","0,01193576389"
instance_8,1000,100,24587,13519,6771,3407,1705,862,465,"1,818699608","3,631221385","3,968007044","3,971260997","3,952436195","3,666666667","0,909349804","0,9078053463","0,4960008805","0,2482038123","0,1235136311","0,05729166667"
instance_9,1000,1000,timeout,timeout,timeout,254919,127654,63916,63916,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"3,988344077","1,997215095",#VALUE!,#VALUE!,#VALUE!,#VALUE!,"0,1246357524","0,03120648586"
instance_10,10000,10,56985,31392,16021,8168,4233,2310,1281,"1,815271407","3,556894077","3,843290891","3,784786204","3,535930736","3,304449649","0,9076357034","0,8892235191","0,4804113614","0,2365491377","0,1104978355","0,05163202576"
instance_11,10000,100,timeout,timeout,timeout,timeout,155444,77731,32917,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"4,722301546",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"0,07378596166"
instance_12,10000,1000,timeout,timeout,timeout,timeout,timeout,timeout,timeout,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
